,INCI name,INN name,Ph. Eur. Name,CAS No,EINECS/ELINCS No,Chem/IUPAC Name,Restriction,Function
7868,MYRISTYL STEARATE,,,,17661-50-6,241-640-2,Tetradecyl stearate,Emollient/skin conditioning
7869,MYRISTYL/CETYL AMINE,,,,,,"Amines, N-(C14-C16-alkyl)-N,N-dimethyl-, N-oxides",Surfactant/hair conditioning/
7870,OXIDE,,,,,,,cleansing/hydrotrope/foam boost-
7871,,,,,,,,ing
7872,MYRISTYL-PG HYDRO-,,,,,,"Decanamide, N-(2-hydroxyethyl)-N-(2-hydroxy-3-tetradecy-",Skin conditioning
7873,XYETHYL DECANAMIDE,,,,,,loxypropyl)-,
7874,MYROXYLON BALSAMUM,,,,9000-64-0,232-550-4,Myroxylon Balsamum Resin is an oleoresin (Balsam Tolu),Film forming/hair conditioning/
7875,RESIN,,,,,,"obtained from the bark exudate of Myroxylon balsamum,",masking
7876,,,,,,,"Leguminosae.
It consists primarily of resins, essential oils,",
7877,,,,,,,and usually cinnamic and benzoic acids,
7878,MYROXYLON PEREIRAE,,peruvian balsam,balsamum peruvianum,8007-00-9,232-352-8,Myroxylon Pereirae Resin is an oleoresin (Balsam Peru),Film forming/hair conditioning/
7879,RESIN,,,,,,"obtained from the bark exudate of Myroxylon pereirae,",masking
7880,,,,,,,Leguminosae,
7881,MYRRHIS ODORATA,,,,90064-24-7,290-085-2,"Myrrhis Odorata Extract
is an extract of
the herb and roots",tonic
7882,EXTRACT,,,,,,"of Myrrhis odorata, Umbelliferae",
7883,MYRTRIMONIUM BRO-,,tetradonium bro-,,1119-97-7,214-291-9,"Tetradonium bromide
VI/1,44",Preservative
7884,MIDE,mide,,,,,,
7885,MYRTUS COMMUNIS,,,,84082-67-7,282-012-8,"Myrtus Communis Extract
is an extract of
the leaves of
the",astringent
7886,EXTRACT,,,,,,"myrtle, Myrtus communis, Myrtaceae",
7887,MYRTUS COMMUNIS OIL,,,,,,"Myrtus Communis Oil
is a volatile oil obtained from the the",tonic/masking
7888,,,,,,,"leaves of
the myrtle, Myrtus communis, Myrtaceae",
7889,MYTILUS EXTRACT,,,,94465-78-8,305-363-1,"Mytilus Extract is an extract of the sea mussel, Mytilus edulis",Skin conditioning
7890,"N,N-DIETHYL-P-PHENYLE-",,,,6283-63-2,228-500-6,"1,4-Benzenediamine, N,N-diethyl-, sulfate (1:1)
III/1,8",Hair dyeing
7891,NEDIAMINE SULFATE,,,,,,,
7892,"N,N-DIETHYLTOLUENE-",,,,2051-79-8,218-130-3,"N5, N5-diethyltoluene-2,5-diamine monohydrochloride",Hair dyeing
7893,"2,5-DIAMINE HCl",,,,,,,
7894,"1,5-NAPHTHALENEDIOL",,,,83-56-7,201-487-4,"Naphthalene-1,5-diol
(CI 76625)",Hair dyeing
7895,"2,3-NAPHTHALENEDIOL",,,,92-44-4,202-156-7,"Naphthalene-2,3-diol",Hair dyeing
7896,"2,7-NAPHTHALENEDIOL",,,582-17-2,209-478-7,"Naphthalene-2,7-diol
(CI 76645)",Hair dyeing,
7897,1-NAPHTHOL,,,90-15-3,201-969-4,"1-naphthol
(CI 76605)
III/1,16",Hair dyeing,
7898,NARCISSUS JONQUILLA,,,90064-25-8,290-086-8,Narcissus Jonquilla Extract is an extract of the flowers of the,Tonic,
7899,EXTRACT,,,,,"jonquil, Narcissus jonquilla, Agavaceae",,
7900,NARCISSUS PSEUDO-,,,90064-27-0,290-088-9,"Narcissus Pseudo-narcissus Extract
is an extract of
the",Skin conditioning,
7901,NARCISSUS EXTRACT,,,,,"flowers of
the daffodil, Narcissus pseudo-narcissus, Agava-",,
7902,,,,,,ceae,,
7903,NASTURTIUM OFFICI-,,,84775-70-2,283-899-4,"Nasturtium Officinale Extract
is an extract of
the flowers",Antiseborrhoeic/tonic/soothing,
7904,NALE EXTRACT,,,,,"and leaves of
the watercress, Nasturtium officinale,",,
7905,,,,,,Brassicaceae,,
7906,NATTO GUM,,,,310-127-6,,Film forming,
7907,N-BUTYL ALCOHOL,,,71-36-3,200-751-6,Butan-1-ol,Denaturant/solvent,
7908,N-CYCLOPENTYL-m-AMI-,,,,,"Phenol, 3-cyclopentylamino-",Hair dyeing,
7909,NOPHENOL,,,,,,,
7910,NELUMBIUM SPECIOSUM,,,85085-51-4,285-379-2,"Nelumbium Speciosum Extract
is an extract of
the flowers",Skin conditioning,
7911,EXTRACT,,,,,"of
the lotus, Nelumbium speciosum, Nymphaeaceae",,
7912,NEOPENTYL GLYCOL,,,27841-06-1,248-688-3,"2,2-dimethyl-1,3-propanediyl didecanoate",Emollient/skin conditioning,
7913,DICAPRATE,,,,,,,
7914,NEOPENTYL GLYCOL,,,70693-32-2,274-764-0,"Decanoic acid, mixed esters with neopentyl glycol and",Emollient/skin conditioning,
7915,DICAPRYLATE/DICAP-,,,,,octanoic acid,,
7916,RATE,,,,,,,
7917,NEOPENTYL GLYCOL,,,,,"Fatty acids, C8-C10, diesters with 2,2-dimethyl-1,3-propa-",Emollient/skin conditioning,
7918,DICAPRYLATE/DIPELAR-,,,,,nediol,,
7919,GONATE/DICAPRATE,,,,,,,
7920,NEOPENTYL GLYCOL,,,31335-74-7/,250-575-9,"2,2-dimethyl-1,3-propanediyl dioctanoate",Emollient/skin conditioning,
7921,DIETHYLHEXANOATE,,,28510-23-8,,,,
7922,NEOPENTYL GLYCOL DII-,,,,,"Isooctadecanoic acid, 2,2-dimethyl-1,3-propanediyl ester",Emulsifying/skin conditioning,
7923,SOSTEARATE,,,,,,,
7924,NEOPENTYL GLYCOL,,,10525-39-0,234-081-0,"2,2-dimethylpropane-1,3-diyl dilaurate",Emulsifying/skin conditioning,
7925,DILAURATE,,,,,,,
7926,NEORUSCOGENIN,,,"17676-33-4
241-660-1","Spirosta-5,25(27)-diene-1.beta.,3.beta.-diol",,Skin conditioning,
7927,NEPETA CATARIA,,,"84929-35-1
284-520-5","Nepeta Cataria Extract is an extract of the herb of the catnip,",,Tonic,
7928,EXTRACT,,,,"Nepeta cataria, Labiatae",,,
7929,NERIUM OLEANDER,,,"84929-39-5
284-522-6","Nerium Oleander Extract
is an extract of","the leaves of
the",Skin conditioning,
7930,EXTRACT,,,,"oleander, Nerium oleander, Apocynaceae",,,
7931,N-ETHYL-3-NITRO PABA,,,2788-74-1,4-ethylamino-3-nitrobenzoic acid,,Hair dyeing/uv absorber,
7932,NEURAL EXTRACT,,,,"Neural Extract
is an extract of mammalian neural","tissue
II/419 (if","Skin conditioning
from",
7933,,,,,,bovine animals aged,,
7934,,,,,,12 months or ovine,,
7935,,,,,,and caprine animals,,
7936,,,,,,aged over 12,,
7937,,,,,,months or which,,
7938,,,,,,have a permanent,,
7939,,,,,,incissor,tooth,
7940,,,,,,erupted through the,,
7941,,,,,,gum),,
7942,NITROGEN,nitrogen,,7727-37-9,231-783-9,Nitrogen,Propellant,
7943,2-NITRO-5-GLYCERYL,,,80062-31-3,279-383-3,"3-[3-(methylamino)-4-nitrophenoxy]propane-1,2-diol",Hair dyeing,
7944,METHYLANILINE,,,,,,,
7945,4-NITROGUAIACOL,,,3251-56-7,221-839-0,2-methoxy-4-nitrophenol,Hair dyeing,
7946,NITROMETHANE,,,75-52-5,200-876-6,"Nitromethane
III/1,18",anticorrosive,
7947,4-NITRO-m-PHENYLENE-,,,5131-58-8,225-876-3,4-nitro-m-phenylenediamine (CI 76030),Hair dyeing,
7948,DIAMINE,,,,,,,
7949,2-NITRO-N-HYDRO-,,,57524-53-5,,"Ethanol, 2-[(4-methoxy-2-nitrophenyl)amino]-",Hair dyeing,
7950,XYETHYL-p-ANISIDINE,,,,,,,
7951,4-NITRO-o-PHENYLENE-,,,99-56-9,202-766-3,4-nitro-o-phenylenediamine (CI 76020),Hair dyeing,
7952,DIAMINE,,,,,,,
7953,4-NITRO-O-PHENYLENE-,,,269-476-7,269-476-7,"1,2-Benzenediamine, 4-nitro, sulfate (1:1)",Hair dyeing,
7954,DIAMINE SULFATE,,,,,,,
7955,4-NITRO-o-PHENYLENE-,,,6219-77-8,228-293-2,"4-nitrobenzene-1,2-diamine dihydrochloride (CI 76020)",Hair dyeing,
7956,DIAMINE HCl,,,,,,,
7957,6-NITRO-o-TOLUIDINE,,,570-24-1,209-329-6,6-nitro-o-toluidine,Hair dyeing,
7958,NITROPHENOL,,,,,"Phenol, mononitro-",Hair dyeing,
7959,4-NITROPHENYL AMI-,,,27080-42-8,,1-(.beta.-ureidoethyl)amino-4-nitrobenzene,Hair dyeing,
7960,NOETHYLUREA,,,,,,,
7961,3-NITRO-p-HYDRO-,,,65235-31-6,265-648-0,4-[(2-hydroxyethyl)amino]-3-nitrophenol,Hair dyeing,
7962,XYETHYLAMINOPHENOL,,,,,,,
7963,2-NITRO-p-PHENYLENE-,,,5307-14-2,226-164-5,2-nitro-p-phenylenediamine (CI 76070),Hair dyeing,
7964,DIAMINE,,,,,,,
7965,2-NITRO-P-PHENYLENE-,,,18266-52-9,242-144-9,"2-Nitrobenzene-1,4-diamine dihydrochloride
III/1,8",Hair dyeing,
7966,DIAMINE DIHY-,,,,,,,
7967,DROCHLORIDE,,,,,,,
7968,"6-NITRO-2,5-PYRIDINE-",,,69825-83-8,,"2,5-diamino-6-nitro-pyridine",Hair dyeing,
7969,DIAMINE,,,,,,,
7970,NITROUS OXIDE,nitrous oxide,nitrogenii oxidum,10024-97-2,233-032-0,Dinitrogen oxide,Propellant,
7971,N-METHOXYETHYL-p-,,,72584-59-9/,276-723-2,"N-(2-methoxyethyl)benzene-1,4-diamine dihydrochloride",Hair dyeing,
7972,PHENYLENEDIAMINE HCl,,,66566-48-1,,,,
7973,N-METHYL-3-NITRO-p-,,,2973-21-9,221-014-5,"N-methyl-2-nitrobenzene-1,4-diamine",Hair dyeing,
7974,PHENYLENEDIAMINE,,,,,,,
7975,"N,N'-BIS(2-HYDRO-",,,84041-77-0,281-856-4,"2,2'-[(2-nitro-1,4-phenylene)diimino]bisethanol",Hair dyeing,
7976,XYETHYL)-2-NITRO-p-,,,,,,,
7977,PHENYLENEDIAMINE,,,,,,,
7978,"N,N-BIS(2-HYDRO-",,,54381-16-7/,259-134-5,"(p-ammoniophenyl)bis(2-hydroxyethyl)ammonium sulphate
III/1,8",Hair dyeing,
7979,XYETHYL)-p-PHENYLENE-,,,58262-44-5,,,,
7980,DIAMINE SULFATE,,,,,,,
7981,"N,N-DIETHYL-m-AMINO-",,,91-68-9,202-090-9,3-diethylaminophenol,Hair dyeing,
7982,PHENOL,,,,,,,
7983,"N,N-DIETHYL-m-AMINO-",,,68239-84-9,269-478-8,Bis[(diethylhydroxyphenyl)ammonium] sulphate,Hair dyeing,
7984,PHENOL SULFATE,,,,,,,
7985,"N,N'-DIMETHYL-N-",,,10228-03-2,233-549-1,2-[N-methyl-4-(methylamino)-3-nitroanilino]ethanol,Hair dyeing,
7986,HYDROXYETHYL-3-,,,,,,,
7987,NITRO-p-PHENYLENDIA-,,,,,,,
7988,MINE,,,,,,,
7989,"N,N-DIMETHYL-p-PHENY-",,,99-98-9,202-807-5,"4-amino-N,N-dimethylaniline (CI 76075)
III/1,8",Hair dyeing,
7990,LENEDIAMINE,,,,,,,
7991,"N,N-DIMETHYL-p-PHENY-",,,6219-73-4,228-292-7,"4-amino-N,N-dimethylaniline sulphate",Hair dyeing,
7992,LENEDIAMINE SULFATE,,,,,,,
7993,"N,N-DIMETHYL 2,6-PYRI-",,,,,"2,6-pyridinediamine, N,N-dimethyl-, mono-
(or di-) hydro-",Hair dyeing,
7994,DINEDIAMINE HCl,,,,,chloride,,
7995,NONETH-8,,,,,,surfactant,
7996,NONOXYNOL-1,,,27986-36-3,248-762-5,2-(nonylphenoxy)ethanol,Emulsifying,
7997,NONOXYNOL-2,,,27176-93-8,248-291-5,2-[2-(nonylphenoxy)ethoxy]ethanol,Emulsifying/surfactant,
7998,NONOXYNOL-3,,,9016-45-9,,"Poly(oxy-1,2-ethanediyl),
.alpha.-(nonylphenyl)-.omega.-",Emulsifying,
7999,,,,,,hydroxy-,,
8000,NONOXYNOL-4,,,7311-27-5/,230-770-5,2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]ethanol,,Emulsifying/surfactant
8001,,,,9016-95-9,,,,
8002,NONOXYNOL-5,,,26264-02-8/,247-555-7,"14-(nonylphenoxy)-3,6,9,12-tetraoxatetradecan-1-ol",,Emulsifying/surfactant
8003,,,,9016-45-9,,,,
8004,NONOXYNOL-5 CAR-,,,28212-44-4,,"Poly(oxy-1,2-ethanediyl),
.alpha.-(carboxymethyl)-.omega.-",,Surfactant/cleansing
8005,BOXYLIC ACID,,,,,(nonylphenoxy)-,,
8006,NONOXYNOL-6,,,9016-45-9,,"Poly(oxy-1,2-ethanediyl),
.alpha.-(nonylphenyl)-.omega.-",,Emulsifying/surfactant
8007,,,,,,hydroxy-,,
8008,NONOXYNOL-6 PHOS-,,,29994-44-3,249-992-9,"17-(nonylphenoxy)-3,6,9,12,15-pentaoxaheptadecan-1-yl",,Surfactant/cleansing/hydrotrope
8009,PHATE,,,,,dihydrogen phosphate,,
8010,NONOXYNOL-7,,,27177-03-3/,248-292-0,"20-(nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol",,Emulsifying/surfactant
8011,,,,9016-45-9,,,,
8012,NONOXYNOL-8,,,27177-05-5/,248-293-6,"23-(nonylphenoxy)-3,6,9,12,15,18,21-heptaoxatricosan-1-ol",,Emulsifying/surfactant
8013,,,,9016-45-9,,,,
8014,NONOXYNOL-8 CAR-,,,28212-44-4,,"Poly(oxy-1,2-ethanediyl),
.alpha.-(carboxymethyl)-.omega.-",,Surfactant/cleansing
8015,BOXYLIC ACID,,,,,(nonylphenoxy)-,,
8016,NONOXYNOL-9,,,26571-11-9/,247-816-5,"26-(nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-",,Emulsifying/surfactant
8017,,,,9016-45-9,,1-ol,,
8018,NONOXYNOL-9 IODINE,,,94349-40-3/,305-157-1,"26-(p-nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexaco-",,Antimicrobial
8019,,,,11096-42-7,,"san-1-ol, compound with iodine",,
8020,NONOXYNOL-9 PHOS-,,,66197-78-2,266-231-6,"26-(nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-",,Surfactant/cleansing/hydrotrope
8021,PHATE,,,,,1-yl dihydrogen phosphate,,
8022,NONOXYNOL-10,,,27177-08-8/,248-294-1,"29-(nonylphenoxy)-3,6,9,12,15,18,21,24,27-nonaoxanona-",,emulsifying
8023,,,,9016-45-9,,cosanol,,
8024,NONOXYNOL-10 CAR-,,,28212-44-4,,"Poly(oxy-1,2-ethanediyl),
.alpha.-(carboxymethyl)-.omega.-",,Surfactant/cleansing
8025,BOXYLIC ACID,,,,,(4-nonylphenoxy)-,,
8026,NONOXYNOL-10 PHOS-,,,,,,,Surfactant/cleansing/hydrotrope
8027,PHATE,,,,,,,
8028,NONOXYNOL-11,,,9016-45-9,,"Poly(oxy-1,2-ethanediyl),
.alpha.-(nonylphenyl)-.omega.-",,Emulsifying/surfactant
8029,,,,,,hydroxy-,,
8030,NONOXYNOL-12,,,9016-45-9,"Poly(oxy-1,2-ethanediyl),",.alpha.-(nonylphenyl)-.omega.-,Emulsifying/surfactant,
8031,,,,,hydroxy-,,,
8032,NONOXYNOL-12 IODINE,,,11096-42-7,"Poly(oxy-1,2-ethanediyl),",.alpha.-(nonylphenyl)-.omega.-,Antimicrobial,
8033,,,,,"hydroxy-, compd. with iodine",,,
8034,NONOXYNOL-13,,,9016-45-9,"Poly(oxy-1,2-ethanediyl),",.alpha.-(nonylphenyl)-.omega.-,Emulsifying/surfactant,
8035,,,,,hydroxy-,,,
8036,NONOXYNOL-14,,,9016-45-9,"Poly(oxy-1,2-ethanediyl),",.alpha.-(nonylphenyl)-.omega.-,Emulsifying/surfactant,
8037,,,,,hydroxy-,,,
8038,NONOXYNOL-15,,,9016-45-9,"Poly(oxy-1,2-ethanediyl),",.alpha.-(nonylphenyl)-.omega.-,Emulsifying/surfactant,
8039,,,,,hydroxy-,,,
8040,NONOXYNOL-18,,,9016-45-9,"Poly(oxy-1,2-ethanediyl),",.alpha.-(nonylphenyl)-.omega.-,Emulsifying/surfactant,
8041,,,,,hydroxy-,,,
8042,NONOXYNOL-20,,,9016-45-9,"Poly(oxy-1,2-ethanediyl),",.alpha.-(nonylphenyl)-.omega.-,Surfactant/cleansing,
8043,,,,,hydroxy-,,,
8044,NONOXYNOL-23,,,9016-45-9,"Poly(oxy-1,2-ethanediyl),",.alpha.-(nonylphenyl)-.omega.-,Surfactant/cleansing,
8045,,,,,hydroxy-,,,
8046,NONOXYNOL-30,,,9016-45-9,"Poly(oxy-1,2-ethanediyl),",.alpha.-(nonylphenyl)-.omega.-,Surfactant/cleansing,
8047,,,,,hydroxy-,,,
8048,NONOXYNOL-35,,,9016-45-9,"Poly(oxy-1,2-ethanediyl),",.alpha.-(nonylphenyl)-.omega.-,Emulsifying/cleansing,
8049,,,,,hydroxy-,,,
8050,NONOXYNOL-40,,,9016-45-9,"Poly(oxy-1,2-ethanediyl),",.alpha.-(nonylphenyl)-.omega.-,Surfactant/cleansing,
8051,,,,,hydroxy-,,,
8052,NONOXYNOL-44,,,9016-45-9,"Poly(oxy-1,2-ethanediyl),",.alpha.-(nonylphenyl)-.omega.-,Surfactant/cleansing,
8053,,,,,hydroxy-,,,
8054,NONOXYNOL-50,,,9016-45-9,"Poly(oxy-1,2-ethanediyl),",.alpha.-(nonylphenyl)-.omega.-,Surfactant/cleansing,
8055,,,,,hydroxy-,,,
8056,NONOXYNOL-100,,,9016-45-9,"Poly(oxy-1,2-ethanediyl),",.alpha.-(nonylphenyl)-.omega.-,Surfactant/cleansing,
8057,,,,,hydroxy-,,,
8058,NONOXYNOL-120,,,9016-45-9,"Poly(oxy-1,2-ethanediyl),",.alpha.-(nonylphenyl)-.omega.-,Emulsifying/cleansing,
8059,,,,,hydroxy-,,,
8060,NONOXYNOL-25,,,9016-45-9,,"Poly(oxy-1,2-ethanediyl),
.alpha.-(nonylphenyl)-.omega.-",,Surfactant
8061,,,,(generic),,hydroxy-,,
8062,NONOXYNYL HYDRO-,,,143447-73-8,,,,Film forming
8063,XYETHYLCELLULOSE,,,,,,,
8064,NONYL ACETATE,,,143-13-5,205-585-8,Nonyl acetate,,Emollient
8065,NONYL NONOXYNOL-5,,,9014-93-1,,"Poly(oxy-1,2-ethanediyl),
.alpha.-(dinonylphenyl)-.omega.-",,Emulsifying
8066,,,,,,hydroxy-,,
8067,NONYL NONOXYNOL-7,,,66172-78-9,266-215-9,"20-(dinonylphenoxy)-3,6,9,12,15,18-hexaoxaicosyl dihydro-",,Surfactant/cleansing
8068,PHOSPHATE,,,,,gen phosphate,,
8069,NONYL NONOXYNOL-9,,,66172-82-5,266-218-5,"26-(nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-",,Surfactant/cleansing
8070,PHOSPHATE,,,,,1-yl hydrogen phosphate,,
8071,NONYL NONOXYNOL-10,,,9014-93-1,,"Poly(oxy-1,2-ethanediyl),
.alpha.-(dinonylphenyl)-.omega.-",,Surfactant
8072,,,,,,hydroxy-,,
8073,NONYL NONOXYNOL-10,,,,,,,Surfactant/cleansing
8074,PHOSPHATE,,,,,,,
8075,NONYL NONOXYNOL-15,,,,,,,Surfactant/cleansing
8076,PHOSPHATE,,,,,,,
8077,NONYL NONOXYNOL-24,,,,,,,Surfactant/cleansing
8078,PHOSPHATE,,,,,,,
8079,NONYL NONOXYNOL-49,,,9014-93-1,,"Poly(oxy-1,2-ethanediyl),
.alpha.-(dinonylphenyl)-.omega.-",,Surfactant/cleansing
8080,,,,,,hydroxy-,,
8081,NONYL NONOXYNOL-100,,,9014-93-1,,"Poly(oxy-1,2-ethanediyl),
.alpha.-(dinonylphenyl)-.omega.-",,Surfactant/cleansing
8082,,,,,,hydroxy-,,
8083,NONYL NONOXYNOL-150,,,9014-93-1,,"Poly(oxy-1,2-ethanediyl),
.alpha.-(dinonylphenyl)-.omega.-",,Surfactant/cleansing
8084,,,,,,hydroxy-,,
8085,NOPYL ACETATE,,,128-51-8,204-891-9,"Bicyclo[3.1.1]hept-2-ene-2-ethanol, 6,6-dimethyl-, acetate",,Masking
8086,NORDIHYDROGUAIARE-,,,500-38-9,207-903-0,"4,4'-(2,3-dimethyltetramethylene)dipyrocatechol",,Antioxidant
8087,TIC ACID,,,,,,,
8088,NORVALINE,,,6600-40-4/,229-543-3/,2-Aminopentanoic acid,Antistatic,
8089,,,,760-78-1/2013-,212-082-7/217-,,,
8090,,,,12-9,936-2,,,
8091,N-PHENYL-p-PHENYLENE-,,,101-54-2,202-951-9,"N-(4-aminophenyl)aniline (CI 76085)
III/1,8",Hair dyeing,
8092,DIAMINE,,,,,,,
8093,N-PHENYL-p-PHENYLENE-,,,2198-59-6,218-599-4,"N-phenylbenzene-p-diamine monohydrochloride (CI
III/1,8",Hair dyeing,
8094,DIAMINE HCl,,,,,76085),,
8095,N-PHENYL-p-PHENYLENE-,,,4698-29-7,225-173-1,"Bis(N-phenylbenzene-p-diamine) sulphate (CI 76085)
III/1,8",Hair dyeing,
8096,DIAMINE SULFATE,,,,,,,
8097,NYLON-6,policapram,,25038-54-4,,,Viscosity controlling/bulking,
8098,NYLON-11,,,25035-04-5,,,Viscosity controlling/bulking,
8099,NYLON-12,,,25038-74-8,,"Azacyclotridecan-2-one, homopolymer",Opacifying/viscosity controlling/,
8100,,,,,,,bulking,
8101,NYLON-66,,,32131-17-2,,"Poly[imino(1,6-dioxo-1,6-hexanediyl)imino-1,6-hexanediyl]",Opacifying/viscosity controlling/,
8102,,,,,,,bulking,
8103,NYLON-12/6/66 COPOLY-,,,,,"6-Aminohexanoic acid, 12-aminododecanoic acid, 1,6-",Film forming,
8104,MER,,,,,"hexanedioic acid, 1,6-hexanediamine copolymer",,
8105,NYMPHAEA ALBA,,,84696-27-5,283-645-2,"Nymphaea Alba Extract
is an extract of
the flowers of
the",Skin conditioning/tonic,
8106,EXTRACT,,,,,"water lily, Nymphaea alba, Nymphaeaceae",,
8107,NYMPHAEA ALBA ROOT,,,84696-27-5,283-645-2,Nymphaea Alba Root Extract is an extract of the roots of the,Skin conditioning,
8108,EXTRACT,,,,,"water lily, Nymphaea alba, Nymphaeaceae",,
8109,NYMPHAEA ODORATA,,,90064-35-0,290-097-8,Nymphaea Odorata Root Extract is an extract of the roots of,Tonic/refreshing,
8110,ROOT EXTRACT,,,,,"the water
lily, Nymphaea odorata, Nymphaeaceae",,
8111,O-AMINOPHENOL,,,95-55-6,202-431-1,"2-aminophenol
(CI 76520)",Hair dyeing,
8112,OAT BETA GLUCAN,,,,,,Film forming/viscosity controlling,
8113,OCIMUM BASILICUM,,,84775-71-3,283-900-8,"Ocimum Basilicum Extract
is an extract of
the flowers and",Tonic,
8114,EXTRACT,,,,,"leaves of
the basil, Ocimum basilicum, Labiatae",,
8115,OCIMUM BASILICUM OIL,,,8015-73-4,,"Ocimum Basilicum Oil
is the volatile oil obtained from the",Tonic/masking,
8116,,,,,,"leaves of
the basil, Ocimum basilicum, Labiatae",,
8117,OCIMUM TENUIFLORUM,,,91845-35-1,295-208-3,"Ocimum Tenuiflorum Extract
is an extract of
the plant",,Skin conditioning
8118,EXTRACT,,,,,"Ocimum tenuiflorum, Labiatae",,
8119,O-CRESOL,orthocresol,,95-48-7,202-423-8,"Phenol, 2-methyl-",,Antimicrobial
8120,OCTACOSANYL GLYCOL,,,97338-11-9,306-603-8,"Octacosane-1,2-diol",,Emollient/stabilising
8121,OCTACOSANYL GLYCOL,,,,,"Isooctadecanoic acid, 2-hydroxyoctacosyl ester",,Emollient
8122,ISOSTEARATE,,,,,,,
8123,OCTADECANE,,,593-45-3,209-790-3,Octadecane,,Skin conditioning/emollient/sol-
8124,,,,,,,,vent
8125,OCTADECENE/MA COPO-,,,25266-02-8,,"2,5-furandione, polymer with 1-octadecene",,Viscosity controlling/stabilising
8126,LYMER,,,,,,,
8127,OCTADECENYL-AMMO-,,,2782-81-2,,"9-octadecenamine, hydrofluoride","III/1,39",Oral care/antiplaque
8128,NIUM FLUORIDE,,,,,,,
8129,OCTAMETHYLTRISILOX-,,,107-51-7,203-497-4,Octamethyltrisiloxane,,Skin conditioning
8130,ANE,,,,,,,
8131,OCTOCRYLENE,octocrilene,,6197-30-4,228-250-8,"2-Propenoic acid, 2-cyano-3,3-diphenyl-, 2-ethylhexyl ester","VII/1,10",Uv filter/uv absorber
8132,OCTOXYNOL-1,,,2315-67-5/,,"Ethanol, 2-[4-(1,1,3,3-tetramethylbutyl)phenoxy]-",,Emulsifying/surfactant
8133,,,,9002-93-1,,,,
8134,OCTOXYNOL-3,,,9002-93-1,,"Poly(oxy-1,2-ethanediyl),
.alpha.-[4-(1,1,3,3-tetramethylbu-",,Emulsifying/surfactant
8135,,,,,,tyl)phenyl]-.omega.-hydroxy-,,
8136,OCTOXYNOL-5,,,9002-93-1,,"Poly(oxy-1,2-ethanediyl),
.alpha.-[4-(1,1,3,3-tetramethylbu-",,Emulsifying/surfactant
8137,,,,,,tyl)phenyl]-.omega.-hydroxy-,,
8138,OCTOXYNOL-7,,,9002-93-1,,"Poly(oxy-1,2-ethanediyl),
.alpha.-[4-(1,1,3,3-tetramethylbu-",,Emulsifying/surfactant
8139,,,,,,tyl)phenyl]-.omega.-hydroxy-,,
8140,OCTOXYNOL-8,,,9002-93-1,,"Poly(oxy-1,2-ethanediyl),
.alpha.-[4-(1,1,3,3-tetramethylbu-",,Emulsifying/surfactant
8141,,,,,,tyl)phenyl]-.omega.-hydroxy-,,
8142,OCTOXYNOL-9,,,42173-90-0/,255-695-5,"26-(nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-",,Emulsifying/surfactant
8143,,,,9002-93-1,,1-ol,,
8144,OCTOXYNOL-9 CAR-,,,,,,,Surfactant
8145,BOXYLIC ACID,,,,,,,
8146,OCTOXYNOL-10,,,9002-93-1,"Poly(oxy-1,2-ethanediyl),",".alpha.-[4-(1,1,3,3-tetramethylbu-",Emulsifying/surfactant,
8147,,,,,tyl)phenyl]-.omega.-hydroxy-,,,
8148,OCTOXYNOL-11,,,9002-93-1,"Poly(oxy-1,2-ethanediyl),",".alpha.-[4-(1,1,3,3-tetramethylbu-",Emulsifying/surfactant,
8149,,,,,tyl)phenyl]-.omega.-hydroxy-,,,
8150,OCTOXYNOL-12,,,9002-93-1,"Poly(oxy-1,2-ethanediyl),",".alpha.-[4-(1,1,3,3-tetramethylbu-",Emulsifying,
8151,,,,,tyl)phenyl]-.omega.-hydroxy-,,,
8152,OCTOXYNOL-13,,,9002-93-1,"Poly(oxy-1,2-ethanediyl),",".alpha.-[4-(1,1,3,3-tetramethylbu-",Emulsifying/surfactant,
8153,,,,,tyl)phenyl]-.omega.-hydroxy-,,,
8154,OCTOXYNOL-16,,,9002-93-1,"Poly(oxy-1,2-ethanediyl),",".alpha.-[4-(1,1,3,3-tetramethylbu-",Emulsifying/Surfactant/cleansing,
8155,,,,,tyl)phenyl]-.omega.-hydroxy-,,,
8156,OCTOXYNOL-20,,,9002-93-1,"Poly(oxy-1,2-ethanediyl),",".alpha.-[4-(1,1,3,3-tetramethylbu-",Emulsifying/cleansing,
8157,,,,,tyl)phenyl]-.omega.-hydroxy-,,,
8158,OCTOXYNOL-20 CAR-,,,,,,Surfactant/cleansing,
8159,BOXYLIC ACID,,,,,,,
8160,OCTOXYNOL-25,,,9002-93-1,"Poly(oxy-1,2-ethanediyl),",".alpha.-[4-(1,1,3,3-tetramethylbu-",Emulsifying/cleansing,
8161,,,,,tyl)phenyl]-.omega.-hydroxy-,,,
